;createTime;specificEnergy (kWh/kWp);plantid;dayEnergy (kWh);irradiation (Wh/msq)
0;2018-01-01;0,17;100128;618,57;nan
1;2018-01-02;0,64;100128;2292,12;nan
2;2018-01-03;0,07;100128;259,01;nan
3;2018-01-04;0,13;100128;470,36;nan
4;2018-01-05;0,2;100128;728,87;nan
5;2018-01-06;0,75;100128;2686,33;nan
6;2018-01-07;0,84;100128;3012,44;nan
7;2018-01-08;0,8;100128;2850,81;nan
8;2018-01-09;0,77;100128;2738,66;nan
9;2018-01-10;0,07;100128;257,24;nan
10;2018-01-11;0,07;100128;255,22;nan
11;2018-01-12;0,04;100128;154,08;nan
12;2018-01-13;0,02;100128;54,45;nan
13;2018-01-14;0,09;100128;308,47;nan
14;2018-01-15;0,05;100128;194;nan
15;2018-01-16;0,34;100128;1216,84;nan
16;2018-01-17;0,31;100128;1123,83;nan
17;2018-01-18;0,13;100128;456,78;nan
18;2018-01-19;0,3;100128;1064,44;nan
19;2018-01-20;0,28;100128;1011,72;nan
20;2018-01-21;0,57;100128;2051,65;nan
21;2018-01-22;0,22;100128;774,57;nan
22;2018-01-23;0,16;100128;589,52;nan
23;2018-01-24;0,1;100128;349,69;nan
24;2018-01-25;0,54;100128;1947,59;nan
25;2018-01-26;0,25;100128;907,52;nan
26;2018-01-27;0,37;100128;1321;nan
27;2018-01-28;0,21;100128;759,49;nan
28;2018-01-29;0,38;100128;1364,37;nan
29;2018-01-30;0,71;100128;2547,33;nan
30;2018-01-31;0,15;100128;540,38;nan
31;2020-10-31;1;100128;3586,42;125,13376332857
0;2018-02-01;0,87;100128;3108,91;nan
1;2018-02-02;0,15;100128;531,74;nan
2;2018-02-03;0,13;100128;447,6;nan
3;2018-02-04;0,15;100128;521,19;nan
4;2018-02-05;0,87;100128;3105,13;nan
5;2018-02-06;0,94;100128;3343,07;nan
6;2018-02-07;1,09;100128;3912,99;nan
7;2018-02-08;1,75;100128;6259,55;nan
8;2018-02-09;1,23;100128;4384,74;nan
9;2018-02-10;0,29;100128;1028,61;nan
10;2018-02-11;0,13;100128;471,28;nan
11;2018-02-12;1,05;100128;3765,32;nan
