;createTime;specificEnergy (kWh/kWp);plantid;dayEnergy (kWh);irradiation (Wh/msq)
0;2018-01-01;0,22;100127;2373,3;113624,99459891
1;2018-01-02;0,8;100127;8473,74;115911,980513278
2;2018-01-03;0,1;100127;1089,09;104283,356817703
3;2018-01-04;0,17;100127;1774,73;84967,6343759846
4;2018-01-05;0,26;100127;2740;131181,260355208
5;2018-01-06;0,93;100127;9904,73;105378,342650287
6;2018-01-07;1,06;100127;11263,72;119836,900720857
7;2018-01-08;1;100127;10555,15;112298,287123947
8;2018-01-09;0,96;100127;10198,04;108498,924602824
9;2018-01-10;0,1;100127;1058,25;101330,342168539
10;2018-01-11;0,1;100127;1045,19;100079,811321649
11;2018-01-12;0,07;100127;700,75;67098,7359079649
12;2018-01-13;0,03;100127;292,79;nan
13;2018-01-14;0,12;100127;1258,18;120474,188433369
14;2018-01-15;0,08;100127;869,46;83253,1814806124
15;2018-01-16;0,4;100127;4286,71;102616,062149137
16;2018-01-17;0,37;100127;3925,15;125281,295397383
17;2018-01-18;0,16;100127;1723,86;165064,326624765
18;2018-01-19;0,35;100127;3761,21;120048,727070708
19;2018-01-20;0,35;100127;3730,52;119069,17649156
20;2018-01-21;0,69;100127;7328,44;116953,040831815
21;2018-01-22;0,28;100127;2933,97;93645,2268721092
22;2018-01-23;0,21;100127;2253,21;107875,521038306
23;2018-01-24;0,13;100127;1394,87;21,5841356040734
24;2018-01-25;0,65;100127;6923,17;89,0173935963401
25;2018-01-26;0,31;100127;3302,76;42,886945398091
26;2018-01-27;0,45;100127;4773,69;57,706592633741
27;2018-01-28;0,27;100127;2851,99;38,2419647946881
28;2018-01-29;0,46;100127;4829,35;61,215715915619
29;2018-01-30;0,86;100127;9072,42;112,09149894719
30;2018-01-31;0,2;100127;2082,92;28,9722991236496
31;2020-10-31;1;100127;10563,2;127,95134645301
0;2018-02-01;1,02;100127;10806,93;136,931746751019
1;2018-02-02;0,19;100127;2054,65;29,3551741378897
2;2018-02-03;0,16;100127;1713,35;27,2385796574924
3;2018-02-04;0,18;100127;1876,34;53,3446274197017
4;2018-02-05;1,01;100127;10706,21;143,337387268278
5;2018-02-06;1,12;100127;11878,33;147,904122361497
6;2018-02-07;1,28;100127;13539,16;165,993819728667
7;2018-02-08;2,08;100127;22042,8;281,121284329102
8;2018-02-09;1,44;100127;15263,12;185,209179315693
9;2018-02-10;0,36;100127;3818,71;48,4435564437271
10;2018-02-11;0,18;100127;1947,28;34,9105794541454
11;2018-02-12;1,24;100127;13153,38;158,483986183188
12;2018-02-13;0,94;100127;9939,12;145,497327739754
13;2018-02-14;2,73;100127;28901,97;342,462932457446
14;2018-02-15;0,52;100127;5522,04;67,2026546532264
15;2018-02-16;0,8;100127;8426,83;132,277393825425
16;2018-02-17;1,01;100127;10655,47;122,867353019309
17;2018-02-18;0,8;100127;8425,27;97,2565072999671
18;2018-02-19;0,19;100127;1963,1;28,9143536820622
19;2018-02-20;1,9;100127;20168,7;238,538584948328
20;2018-02-21;1,18;100127;12455,03;144,750978137798
21;2018-02-22;2,09;100127;22102,78;251,204967640961
22;2018-02-23;2,98;100127;31550,48;343,027711965331
23;2018-02-24;3,3;100127;34968,24;394,196486966617
24;2018-02-25;2,29;100127;24305,29;283,436637473038
25;2018-02-26;2,46;100127;26113,12;294,963184486901
26;2018-02-27;0,19;100127;2063,21;238,021711527102
27;2018-02-28;0,76;100127;8064,09;184,771177719992
28;2020-10-31;1;100127;10563,2;127,95134645301
0;2018-03-01;1,46;100127;15445,49;222,398204819028
1;2018-03-02;1,2;100127;12686,13;155,894734111536
2;2018-03-03;1,43;100127;15204,59;190,960286703551
3;2018-03-04;2,56;100127;27082,1;293,678981827527
4;2018-03-05;0,58;100127;6184,87;77,3332826635296
5;2018-03-06;0,86;100127;9076,24;106,178972794845
6;2018-03-07;1,22;100127;12929,51;144,512206282575
7;2018-03-08;0,52;100127;5477,12;100,565536628159
8;2018-03-09;0,26;100127;2703,13;103,284962893136
9;2018-03-10;1,38;100127;14574,26;193,473644559498
10;2018-03-11;0,47;100127;5026,71;70,2658802536232
11;2018-03-12;1,11;100127;11792,04;134,387074102883
12;2018-03-13;0,45;100127;4795,73;60,4534374337704
13;2018-03-14;1,81;100127;19223,19;204,020528266478
14;2018-03-15;0,97;100127;10310,01;118,941175452889
15;2018-03-16;1,97;100127;20906,2;224,571015595745
16;2018-03-17;2,88;100127;30504,2;339,634985751768
17;2018-03-18;4,95;100127;52455,53;565,244314274436
18;2018-03-19;4,94;100127;52393,47;547,150023045184
19;2018-03-20;5,38;100127;57002,42;604,311135338497
20;2018-03-21;1,96;100127;20766,42;228,793201513571
21;2018-03-22;0,98;100127;10429,79;122,073220881225
22;2018-03-23;1,26;100127;13334,48;151,173698825282
23;2018-03-24;1,08;100127;11415,11;131,78540083442
24;2018-03-25;0,78;100127;8235,28;98,4949617876042
25;2018-03-26;2,37;100127;25169,78;284,475391953511
26;2018-03-27;1,1;100127;11673,61;134,769737044558
27;2018-03-28;0,91;100127;9609,11;121,673982734633
28;2018-03-29;2,46;100127;26059,28;285,628157865871
29;2018-03-30;5,31;100127;56239,13;605,538183044023
30;2018-03-31;2,26;100127;23908,55;259,706101681813
31;2020-10-31;1;100127;10563,2;127,95134645301
0;2018-04-01;3,74;100127;39676,26;430,396601087152
1;2018-04-02;5,55;100127;58773,69;632,401633737759
2;2018-04-03;0,86;100127;9083,22;110,108019557463
3;2018-04-04;3,46;100127;36648,41;426,130643533645
4;2018-04-05;1,42;100127;15077,63;165,072542573747
5;2018-04-06;5,82;100127;61701,53;678,077683337899
6;2018-04-07;4,72;100127;50021,21;521,864039546529
7;2018-04-08;5,02;100127;53189,54;551,55343825451
8;2018-04-09;3,63;100127;38517,54;409,841113163598
9;2018-04-10;2,52;100127;26757,4;288,816874456705
10;2018-04-11;5,97;100127;63242,94;670,618504237197
11;2018-04-12;3,58;100127;37903,41;406,924043525565
12;2018-04-13;2,97;100127;31481,69;333,900999996114
13;2018-04-14;1,89;100127;20061,24;218,584296061344
14;2018-04-15;1,39;100127;14687,91;165,771770114622
15;2018-04-16;2,97;100127;31470,74;346,130224604816
16;2018-04-17;3,98;100127;42143,72;466,463630267374
17;2018-04-18;4,73;100127;50113,39;556,60534079252
18;2018-04-19;5,98;100127;63354,67;658,959759660732
19;2018-04-20;5,97;100127;63285,22;661,687433862349
20;2018-04-21;5,95;100127;63043,05;709,597399448319
21;2018-04-22;4,95;100127;52451,68;550,761303714795
22;2018-04-23;3,83;100127;40629,7;493,894286502975
23;2018-04-24;2,7;100127;28632,52;310,843807268293
24;2018-04-25;3,29;100127;34843,85;431,783910491868
25;2018-04-26;3,62;100127;38379,87;450,25458184081
26;2018-04-27;4,73;100127;50085,7;600,380977650128
27;2018-04-28;2,55;100127;27054,08;296,396157623363
28;2018-04-29;3,66;100127;38765,99;442,900602171699
29;2018-04-30;0,7;100127;7374,69;89,1712096776345
30;2020-10-31;1;100127;10563,2;127,95134645301
0;2018-05-01;2,16;100127;22886,18;258,02596875539
1;2018-05-02;4,83;100127;51227,66;566,484473253689
